hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Seventh Day Adventist Medical Centre,Private,Multispecialty / General,,0.0,0.0,"No. 8, Spencer Road, Trazer Town",Karnataka,Bengaluru Urban,12.9962315,77.6099173
Punya Hosptal,Private,Multispecialty / General,,0.0,0.0,"91 ,Pipeline Rode, J C Nagar.Kurubarahalli Circle",Karnataka,Bengaluru Urban,13.000459,77.5369296
Belle Vues Cambridge Hospital,Private,Multispecialty / General,,0.0,0.0,"No 18/17, Cambridge Road,Ulsoor",Karnataka,Bengaluru Urban,12.9712602,77.6275877
G. G. Hospital,Private,Multispecialty / General,,0.0,0.0,"369, 100 Feet Road, H.A.L. Ii Stage, Indiranagar",Karnataka,Bengaluru Urban,12.973007,77.641386
Joseph Clinic,Private,Multispecialty / General,,0.0,0.0,"10,12 Th Cross, Lakshmipuram",Karnataka,Bengaluru Urban,12.9955442,80.2514885
Sadhana Eye Hospital,Private,Eye / Ophthalmology,,0.0,0.0,"No. 114, 5Th Cross, Sai Baba Temple Road, Cambridge Layout, Ulsoor",Karnataka,Bengaluru Urban,12.9817147,77.6285585
Sakthi Nursing Home,Private,Multispecialty / General,,0.0,0.0,Muneswamappa Layout Ulsoor,Karnataka,Bengaluru Urban,12.9751602,77.6797392
Ulsoor Referal Hospital,Private,Multispecialty / General,,0.0,0.0,"Kembridge Rd, Near Police Station",Karnataka,Bengaluru Urban,13.0386513,77.5918245
"Vagus Super Speciality Hospital Pvt. Ltd.,",Private,Multispecialty / General,,0.0,0.0,"No.6,7 & 8, 4Th Main Road,18Th Cross,Malleshwaram",Karnataka,Bengaluru Urban,13.008767,77.5657871
Bangalore Medical Centre,Private,Multispecialty / General,,0.0,0.0,"30 1St Main Road, Gandhinagar",Karnataka,Bengaluru Urban,12.9752996,77.5789317
Kavitha Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 93, 4Th Main Road, Sunkadakatte Magadi Main Road",Karnataka,Bengaluru Urban,12.9786112,77.5471409
Citi Hospital,Private,Multispecialty / General,,0.0,0.0,"25/91, Chord Road, Iind Block, Rajajinagar",Karnataka,Bengaluru Urban,12.974333,77.542641
Curls and Curves Hair Transplantation and Cosmetic Sur,Private,Multispecialty / General,,0.0,0.0,"49, 1St Floor, West Of Cord Road, 1St Stage, 6Th Phase,Mahaganapathi Nagar, Rajaji Nagar",Karnataka,Bengaluru Urban,12.991497,77.5508432
Jinka Nursing Home,Private,Multispecialty / General,,0.0,0.0,25 27 60Th Cross 5Th Block Near Bashyam Circle Rajajinagar,Karnataka,Bengaluru Urban,12.98471,77.5508027
Karnataka Medical Centre,Private,Multispecialty / General,,0.0,0.0,"#27,60 Cross, 5 Th Block, Rajaiji Nagar, Near Bashyam Circle",Karnataka,Bengaluru Urban,12.9656111,77.5663488
Kumar Nethralaya,Private,Eye / Ophthalmology,,0.0,0.0,"No 562, 3Rd Main Second Block, Rajajinagar",Karnataka,Bengaluru Urban,12.9678728,77.5234315
Narayana Nethralaya,Private,Eye / Ophthalmology,,0.0,0.0,"#121/C, Chord Rd, 1St R Block, Rajajinagar, , B.N",Karnataka,Bengaluru Urban,13.011531,77.552046
Rajajinagar Meternity Home,Private,Multispecialty / General,,0.0,0.0,"Rajajinagar, 5Th Block, Basham Circle",Karnataka,Bengaluru Urban,12.9837854,77.554113
Ratkal Speciality Clinic,Private,Multispecialty / General,,0.0,0.0,"No.6, 3Rd Cross,1 , R- Block, Rajajinagar",Karnataka,Bengaluru Urban,13.0066193,77.5491304
